,index,aSS,aLL,tLL,aSS_aLL_ratio,k
0,4,0.5,4.0,30,0.125,0.23333333333333334
1,5,0.5,4.0,90,0.125,0.07777777777777778
2,6,0.5,4.0,180,0.125,0.03888888888888889
3,10,0.5,4.5,30,0.1111111111111111,0.26666666666666666
4,11,0.5,4.5,90,0.1111111111111111,0.08888888888888889
5,12,0.5,4.5,180,0.1111111111111111,0.044444444444444446
6,16,0.5,5.0,30,0.1,0.3
7,17,0.5,5.0,90,0.1,0.1
8,18,0.5,5.0,180,0.1,0.05
9,21,1.0,4.0,15,0.25,0.2
10,22,1.0,4.0,30,0.25,0.1
11,23,1.0,4.0,90,0.25,0.03333333333333333
12,24,1.0,4.0,180,0.25,0.016666666666666666
13,27,1.0,4.5,15,0.2222222222222222,0.23333333333333334
14,28,1.0,4.5,30,0.2222222222222222,0.11666666666666667
15,29,1.0,4.5,90,0.2222222222222222,0.03888888888888889
16,30,1.0,4.5,180,0.2222222222222222,0.019444444444444445
17,33,1.0,5.0,15,0.2,0.26666666666666666
18,34,1.0,5.0,30,0.2,0.13333333333333333
19,35,1.0,5.0,90,0.2,0.044444444444444446
20,36,1.0,5.0,180,0.2,0.022222222222222223
21,38,1.5,4.0,7,0.375,0.23809523809523808
22,39,1.5,4.0,15,0.375,0.1111111111111111
23,40,1.5,4.0,30,0.375,0.05555555555555555
24,41,1.5,4.0,90,0.375,0.018518518518518517
25,42,1.5,4.0,180,0.375,0.009259259259259259
26,44,1.5,4.5,7,0.3333333333333333,0.2857142857142857
27,45,1.5,4.5,15,0.3333333333333333,0.13333333333333333
28,46,1.5,4.5,30,0.3333333333333333,0.06666666666666667
29,47,1.5,4.5,90,0.3333333333333333,0.022222222222222223
30,48,1.5,4.5,180,0.3333333333333333,0.011111111111111112
31,50,1.5,5.0,7,0.3,0.33333333333333337
32,51,1.5,5.0,15,0.3,0.15555555555555556
33,52,1.5,5.0,30,0.3,0.07777777777777778
34,53,1.5,5.0,90,0.3,0.02592592592592593
35,54,1.5,5.0,180,0.3,0.012962962962962964
36,56,2.0,4.0,7,0.5,0.14285714285714285
37,57,2.0,4.0,15,0.5,0.06666666666666667
38,58,2.0,4.0,30,0.5,0.03333333333333333
39,59,2.0,4.0,90,0.5,0.011111111111111112
40,60,2.0,4.0,180,0.5,0.005555555555555556
41,62,2.0,4.5,7,0.4444444444444444,0.17857142857142858
42,63,2.0,4.5,15,0.4444444444444444,0.08333333333333333
43,64,2.0,4.5,30,0.4444444444444444,0.041666666666666664
44,65,2.0,4.5,90,0.4444444444444444,0.013888888888888888
45,66,2.0,4.5,180,0.4444444444444444,0.006944444444444444
46,68,2.0,5.0,7,0.4,0.21428571428571427
47,69,2.0,5.0,15,0.4,0.1
48,70,2.0,5.0,30,0.4,0.05
49,71,2.0,5.0,90,0.4,0.016666666666666666
50,72,2.0,5.0,180,0.4,0.008333333333333333
51,74,2.5,4.0,7,0.625,0.08571428571428573
52,75,2.5,4.0,15,0.625,0.04000000000000001
53,76,2.5,4.0,30,0.625,0.020000000000000004
54,77,2.5,4.0,90,0.625,0.006666666666666668
55,78,2.5,4.0,180,0.625,0.003333333333333334
56,80,2.5,4.5,7,0.5555555555555556,0.1142857142857143
57,81,2.5,4.5,15,0.5555555555555556,0.05333333333333334
58,82,2.5,4.5,30,0.5555555555555556,0.02666666666666667
59,83,2.5,4.5,90,0.5555555555555556,0.008888888888888889
60,84,2.5,4.5,180,0.5555555555555556,0.0044444444444444444
61,86,2.5,5.0,7,0.5,0.14285714285714285
62,87,2.5,5.0,15,0.5,0.06666666666666667
63,88,2.5,5.0,30,0.5,0.03333333333333333
64,89,2.5,5.0,90,0.5,0.011111111111111112
65,90,2.5,5.0,180,0.5,0.005555555555555556
66,91,3.0,4.0,1,0.75,0.33333333333333326
67,92,3.0,4.0,7,0.75,0.04761904761904761
68,93,3.0,4.0,15,0.75,0.022222222222222216
69,94,3.0,4.0,30,0.75,0.011111111111111108
70,95,3.0,4.0,90,0.75,0.003703703703703703
71,96,3.0,4.0,180,0.75,0.0018518518518518515
72,98,3.0,4.5,7,0.6666666666666666,0.07142857142857142
73,99,3.0,4.5,15,0.6666666666666666,0.03333333333333333
74,100,3.0,4.5,30,0.6666666666666666,0.016666666666666666
75,101,3.0,4.5,90,0.6666666666666666,0.005555555555555556
76,102,3.0,4.5,180,0.6666666666666666,0.002777777777777778
77,104,3.0,5.0,7,0.6,0.09523809523809525
78,105,3.0,5.0,15,0.6,0.044444444444444446
79,106,3.0,5.0,30,0.6,0.022222222222222223
80,107,3.0,5.0,90,0.6,0.0074074074074074086
81,108,3.0,5.0,180,0.6,0.0037037037037037043
82,109,3.5,4.0,1,0.875,0.1428571428571428
83,110,3.5,4.0,7,0.875,0.020408163265306114
84,111,3.5,4.0,15,0.875,0.00952380952380952
85,112,3.5,4.0,30,0.875,0.00476190476190476
86,113,3.5,4.0,90,0.875,0.0015873015873015866
87,114,3.5,4.0,180,0.875,0.0007936507936507933
88,115,3.5,4.5,1,0.7777777777777778,0.2857142857142858
89,116,3.5,4.5,7,0.7777777777777778,0.040816326530612256
90,117,3.5,4.5,15,0.7777777777777778,0.019047619047619053
91,118,3.5,4.5,30,0.7777777777777778,0.009523809523809526
92,119,3.5,4.5,90,0.7777777777777778,0.0031746031746031755
93,120,3.5,4.5,180,0.7777777777777778,0.0015873015873015877
94,122,3.5,5.0,7,0.7,0.06122448979591837
95,123,3.5,5.0,15,0.7,0.028571428571428574
96,124,3.5,5.0,30,0.7,0.014285714285714287
97,125,3.5,5.0,90,0.7,0.004761904761904762
98,126,3.5,5.0,180,0.7,0.002380952380952381
99,127,4.0,4.5,1,0.8888888888888888,0.125
100,128,4.0,4.5,7,0.8888888888888888,0.017857142857142856
101,129,4.0,4.5,15,0.8888888888888888,0.008333333333333333
102,130,4.0,4.5,30,0.8888888888888888,0.004166666666666667
103,131,4.0,4.5,90,0.8888888888888888,0.001388888888888889
104,132,4.0,4.5,180,0.8888888888888888,0.0006944444444444445
105,133,4.0,5.0,1,0.8,0.25
106,134,4.0,5.0,7,0.8,0.03571428571428571
107,135,4.0,5.0,15,0.8,0.016666666666666666
108,136,4.0,5.0,30,0.8,0.008333333333333333
109,137,4.0,5.0,90,0.8,0.002777777777777778
110,138,4.0,5.0,180,0.8,0.001388888888888889
111,139,4.5,5.0,1,0.9,0.11111111111111116
112,140,4.5,5.0,7,0.9,0.01587301587301588
113,141,4.5,5.0,15,0.9,0.00740740740740741
114,142,4.5,5.0,30,0.9,0.003703703703703705
115,143,4.5,5.0,90,0.9,0.0012345679012345685
116,144,4.5,5.0,180,0.9,0.0006172839506172843
